   ,STATEMENT_ID,STATEMENT_DATE     ,DRIVER_ID,DRIVER_NAME ,ADDRESS_1  ,ADDRESS_2           ,CITY       ,PROVINCE,POSTAL_CODE,PMT_STATE,CURRENCY_CODE,LEG_DATE           ,PUNIT,DETAIL_LINE_ID,BILL_NUMBER,PAY_CODE  ,PAY_DESCRIPTION                              ,LEG_FROM_ZONE_DESC    ,LEG_TO_ZONE_DESC          ,FB_TOTAL_CHARGES,DED_RATE,TOTAL_PAY_AMT,ORIG_STMT,LOADED_MILES2
0  ,130404      ,2019-03-22 23:59:59,D9486    ,"HySG,  LLC",UNIT# D9486,221 E. BOLIVAR DR.  ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-22 00:00:00,     ,0             ,           ,OO-ESCROW ,8E-FEDEX ESCROW-D9486                        ,                      ,                          ,0.0             ,50.0    ,-50.0        ,130404   ,0.0
1  ,130404      ,2019-03-22 23:59:59,D9486    ,"HySG,  LLC",UNIT# D9486,221 E. BOLIVAR DR.  ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-19 14:42:07,     ,0             ,           ,OO-MVFUNDS,1X-D9486-OFFSET EXPENSES Cancel: 44775       ,                      ,                          ,0.0             ,-214.09 ,214.09       ,130404   ,0.0
2  ,130404      ,2019-03-22 23:59:59,D9486    ,"HySG,  LLC",UNIT# D9486,221 E. BOLIVAR DR.  ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-22 00:00:00,     ,0             ,           ,OO-INSLIAB,10E-TRUCK INS&LIAB-D9486                     ,                      ,                          ,0.0             ,164.09  ,-164.09      ,130404   ,0.0
3  ,130780      ,2019-03-22 23:59:59,33427    ,"HySG,  LLC",UNIT# 33427,221 E. BOLIVAR DR   ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-08 00:00:00,     ,0             ,           ,OO-INSLIAB,10E-TRUCK INS&LIAB-33427                     ,                      ,                          ,0.0             ,155.69  ,-155.69      ,130780   ,0.0
4  ,130780      ,2019-03-22 23:59:59,33427    ,"HySG,  LLC",UNIT# 33427,221 E. BOLIVAR DR   ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-21 11:46:09,     ,0             ,           ,OO-MVFUNDS,1X-33427-FUNDS FROM EFS Cancel: 45016        ,                      ,                          ,0.0             ,-622.76 ,622.76       ,130780   ,0.0
5  ,130780      ,2019-03-22 23:59:59,33427    ,"HySG,  LLC",UNIT# 33427,221 E. BOLIVAR DR   ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-22 00:00:00,     ,0             ,           ,OO-INSLIAB,10E-TRUCK INS&LIAB-33427                     ,                      ,                          ,0.0             ,155.69  ,-155.69      ,130780   ,0.0
6  ,130780      ,2019-03-22 23:59:59,33427    ,"HySG,  LLC",UNIT# 33427,221 E. BOLIVAR DR   ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-01 00:00:00,     ,0             ,           ,OO-INSLIAB,10E-TRUCK INS&LIAB-33427                     ,                      ,                          ,0.0             ,155.69  ,-155.69      ,130780   ,0.0
7  ,130780      ,2019-03-22 23:59:59,33427    ,"HySG,  LLC",UNIT# 33427,221 E. BOLIVAR DR   ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-15 00:00:00,     ,0             ,           ,OO-INSLIAB,10E-TRUCK INS&LIAB-33427                     ,                      ,                          ,0.0             ,155.69  ,-155.69      ,130780   ,0.0
8  ,130412      ,2019-03-22 23:59:59,D9619    ,"HySG,  LLC",UNIT# D9619,221 E. BOLIVAR DR.  ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-22 00:00:00,     ,0             ,           ,OO-FUELTAX,9E-FUEL TAXES-FEB 2019-C2793                 ,                      ,                          ,0.0             ,-9.15   ,9.15         ,130412   ,0.0
9  ,130412      ,2019-03-22 23:59:59,D9619    ,"HySG,  LLC",UNIT# D9619,221 E. BOLIVAR DR.  ,BATON ROUGE,LA      ,70819      ,X        ,USD          ,2019-03-22 00:00:00,     ,0             ,           ,OO-MGTFEE ,13E-PROGRAM FEE-D9619                        ,                      ,                          ,0.0             ,12.5    ,-12.5        ,130412   ,0.0
